Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Deutschland,08/01/2019,23.6,14.4,18.7,,,0.37,0,0,12.3,239.83,,28,6.5,78.49,Rain
Deutschland,08/02/2019,23.7,13.5,18.2,,,6.51,0,0,15.3,130.29,,33.6,0,78.68,Rain
Deutschland,08/03/2019,24.8,14.8,19.1,,,1.44,0,0,15.7,131.58,,36.9,8.7,72.2,Rain
Deutschland,08/04/2019,23.2,14,18.7,,,0,0,0,17.3,297.75,,42.4,13,72.11,Clear
Deutschland,08/05/2019,24,13.4,19.5,,,0.03,0,0,13.2,173.54,,38,0,70,Rain
Deutschland,08/06/2019,26.9,15.7,21.2,,27.1,1.11,0,0,16.4,218.08,,35.6,,72.21,Rain
Deutschland,08/07/2019,23.8,16.7,20.3,,,3.07,0,0,16.3,211,,34.5,0,76.34,Rain
Deutschland,08/08/2019,26.1,14.7,20.2,,,0.16,0,0,26,255.33,,42,13,62.24,Rain
Deutschland,08/09/2019,27.1,13.3,20.8,,26.9,0.04,0,0,12.2,218.83,,44,2.9,61.29,Rain
Deutschland,08/10/2019,27.2,19.8,23.4,,27.1,0.1,0,0,24.3,208.13,,45.9,13,57.89,Rain
Deutschland,08/11/2019,28,16.7,22.6,,27.1,0,0,0,19.2,211.96,,46.9,9.3,49.1,Clear
Deutschland,08/12/2019,23.1,16.9,20.3,,,0.31,0,0,17.5,249.29,,45.1,,57.62,Rain
Deutschland,08/13/2019,21.4,14.2,17.9,,,0.03,0,0,24.5,254.38,,47.1,13,60.53,Rain
Deutschland,08/14/2019,21.6,11.4,16,,,0,0,0,19.9,249.33,,47.7,11.1,58.27,Clear
Deutschland,08/15/2019,21.5,11.5,17.2,,,0.04,0,0,18.7,180.46,,45.2,0,58.61,Rain
Deutschland,08/16/2019,22.3,14.7,18,,,0.03,0,0,18.3,250.5,,41.9,,70.71,Rain
Deutschland,08/17/2019,26.4,13.8,19.6,,,0,0,0,19.8,178.75,,41.4,,58.67,Clear
Deutschland,08/18/2019,24.8,17.7,20,,,6.78,0,0,18.6,209.13,,33.6,,78.75,Rain
Deutschland,08/19/2019,23.9,15.2,18.8,,,0.01,0,0,19.4,259.25,,33.9,13,72.23,Rain
Deutschland,08/20/2019,24.2,12.4,18.6,,,0.09,0,0,9.5,257.42,,42.1,,59.07,Rain
Deutschland,08/21/2019,23.2,12.8,18,,,0.8,0,0,14.5,263.38,,41,10.5,61.77,Rain
Deutschland,08/22/2019,26,10.5,18.7,,,0,0,0,11.3,116.25,,43.6,12.6,54.9,Clear
Deutschland,08/23/2019,28,13.1,20.6,,27.2,0,0,0,12.1,119.21,,39.6,4.5,57.11,Clear
Deutschland,08/24/2019,28.3,13.5,21.5,,27.7,0,0,0,15.8,80.63,,39.8,5.7,57.87,Clear
Deutschland,08/25/2019,30.8,17.7,24,,29.9,0,0,0,18.7,91.96,,35.4,10.5,52.15,Clear
Deutschland,08/26/2019,31.2,17.6,23.8,,30.9,0.44,0,0,12.8,74.92,,32.4,3,58.46,Rain
Deutschland,08/27/2019,31.5,18.6,24.5,,31.2,0.33,0,0,16.5,101.79,,28.5,4.6,65.36,Rain
Deutschland,08/28/2019,32.9,20,25.3,,32.6,0.01,0,0,15.5,169.58,,26.3,4.1,61.36,Rain
Deutschland,08/29/2019,29.5,17.2,23.6,,29.1,0.03,0,0,17.9,252.33,,33,2.2,63.18,Rain
Deutschland,08/30/2019,28.9,19.1,23.6,,28.9,0.15,0,0,9.5,97.92,,34.6,9.8,64.81,Rain
Deutschland,08/31/2019,33,18.2,25.7,,32.2,0,0,0,15.1,118,,32.9,6.6,57.38,Clear
