Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Deutschland,02/01/2019,2,-3.1,-0.2,-7.9,,0,0,0,19.2,98.5,,9,22.5,80.4,Clear
Deutschland,02/02/2019,1,0,0.6,-4.2,,0,0,0,17.7,145.46,,3.4,79.3,94.37,Overcast
Deutschland,02/03/2019,2,0.6,1.3,-3.3,,0,0,0,15.2,305.83,,5.5,86.9,92.68,Overcast
Deutschland,02/04/2019,5.9,-3.1,0.9,-7,,0,0,0,18.8,227.25,,9.6,17.4,82.07,Clear
Deutschland,02/05/2019,3.9,0,2.3,-5,,0,0,0,19.9,226.92,,10,72.7,76.14,Partially cloudy
Deutschland,02/06/2019,6.5,1.2,3.4,-2.3,,0,0,0,20.8,198,,9.9,32.5,74.4,Partially cloudy
Deutschland,02/07/2019,5.7,0.6,3,-2.9,,0,0,0,21.6,181.88,,10,19.7,67.33,Clear
Deutschland,02/08/2019,8.9,2.9,5.6,-1.4,,0,0,0,27.1,207.04,,10,29.7,73.02,Partially cloudy
Deutschland,02/09/2019,10.9,5.7,7.7,1.5,,0,0,0,43.1,211.63,68.4,10,30.8,64.55,Partially cloudy
Deutschland,02/10/2019,9,4.9,6.7,1.1,,0,0,0,28.6,189,,9.9,45.6,81.02,Partially cloudy
Deutschland,02/11/2019,7,1.5,4.7,-3.9,,0,0,0,37.5,284.25,61.2,9.9,54.8,73.81,Partially cloudy
Deutschland,02/12/2019,5.5,0.9,3,-3.4,,0,0,0,25.9,289.29,40.7,10,48.2,69.83,Partially cloudy
Deutschland,02/13/2019,8,2.9,6,-0.9,,0,0,0,25.6,260.25,,7.7,84.5,87.78,Overcast
Deutschland,02/14/2019,11,2.6,6.9,1.4,,0,0,0,18.6,259.46,,9.3,45.5,80.22,Partially cloudy
Deutschland,02/15/2019,13.9,-1.9,5.5,1.5,,0,0,0,9.4,247.74,,10,0,65.53,Clear
Deutschland,02/16/2019,15.9,1.2,7.4,-0.5,,0,0,0,19.9,203.04,,10,0,58.25,Clear
Deutschland,02/17/2019,14,-1,6.1,4.9,,0,0,0,10.7,155.65,,10,0,68.11,Clear
Deutschland,02/18/2019,15.5,1.6,7.9,0.1,,0,0,0,11.3,184.21,,10,0,61.71,Clear
Deutschland,02/19/2019,10,2,6.5,-0.7,,0,0,0,30,237.29,,10,27.3,71.11,Partially cloudy
Deutschland,02/20/2019,10,5,7.2,1.5,,0,0,0,22.9,258.63,,10,15.2,74.77,Clear
Deutschland,02/21/2019,11,5.3,8.1,2.5,,0,0,0,26.6,258.46,,9,60.6,79.46,Partially cloudy
Deutschland,02/22/2019,9,-1.3,3.9,-5.3,,0,0,0,22,132.04,,9.4,33.4,67,Partially cloudy
Deutschland,02/23/2019,5,-3.3,0.8,-7.2,,0,0,0,15.6,147.79,,10,0,47.5,Clear
Deutschland,02/24/2019,11.9,-2.3,3.6,-4.2,,0,0,0,10.1,219.21,,10,0,48.19,Clear
Deutschland,02/25/2019,13.9,-1.3,5.8,-2,,0,0,0,16.8,275.17,,10,0,61.3,Clear
Deutschland,02/26/2019,11.5,0.5,5.8,-1.8,,0,0,0,11.6,273.38,,9.5,0,74.03,Clear
Deutschland,02/27/2019,16,-1.9,7,-0.4,,0,0,0,16.7,227.74,,6.9,2.8,62.6,Clear
Deutschland,02/28/2019,12.6,3.8,7.3,0,,0,0,0,22.4,279.96,,9.3,11.6,67.73,Clear
