Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Deutschland,06/01/2019,27.1,14.9,21.2,,26.9,0,0,0,20.9,235.71,,9.9,13.3,66.27,Clear
Deutschland,06/02/2019,31,15.6,23.7,,29.8,0,0,0,13.7,142.42,,10,0,53.98,Clear
Deutschland,06/03/2019,33.7,19.7,26.5,,31.8,0,0,0,24.6,200.88,,10,4.9,41.54,Clear
Deutschland,06/04/2019,31,18.1,24.6,,29.8,0,0,0,13.1,179.61,,10,1,51.55,Clear
Deutschland,06/05/2019,33,19.6,27.3,,31.4,0,0,0,23.3,107.5,,10,2.6,45.08,Clear
Deutschland,06/06/2019,30.5,15,22.6,,30.3,0,0,0,22.7,184.29,40.7,9.9,23.7,65.88,Clear
Deutschland,06/07/2019,25,14,19.6,,,0,0,0,18,208.04,,10,31.3,64.08,Partially cloudy
Deutschland,06/08/2019,22.9,16,19.2,,,0,0,0,34.1,219.33,53.6,10,18.7,52.96,Clear
Deutschland,06/09/2019,25.9,11.7,19.5,,,0,0,0,14.1,176.17,31.7,10,0,44.17,Clear
Deutschland,06/10/2019,27.1,15.5,21.8,,27.8,0,0,0,13,68.88,,10,11.6,61.61,Clear
Deutschland,06/11/2019,29,18.2,24.1,,29.7,0,0,0,21.3,128.67,27.7,10,30.7,70.6,Partially cloudy
Deutschland,06/12/2019,33.4,17.1,22.7,,33.2,0,0,0,45.7,182.96,77.8,9.7,23.4,72.93,Clear
Deutschland,06/13/2019,24.9,15.1,19.9,,,0,0,0,14.4,180.91,,10,12.8,65.57,Clear
Deutschland,06/14/2019,29.4,15,23.5,,28,0,0,0,14.2,125,,10,1.7,50.41,Clear
Deutschland,06/15/2019,31.1,21.1,25.7,,31.7,0,0,0,31.7,174.08,,10,5.3,56.85,Clear
Deutschland,06/16/2019,21.5,15,19,,,0,0,0,19.5,282,,10,21.4,63.71,Clear
Deutschland,06/17/2019,26.9,16,21.9,,26.6,0,0,0,13.7,141.92,,10,11.4,54.16,Clear
Deutschland,06/18/2019,29,16.7,23.9,,27.8,0,0,0,23.7,116.08,46.4,10,0,48.13,Clear
Deutschland,06/19/2019,31.5,19.4,25.8,,30.5,0,0,0,17.9,153.33,,10,14.6,47.59,Clear
Deutschland,06/20/2019,25.2,17.9,22.5,,,0,0,0,26.5,237.75,,10,22.5,63.42,Clear
Deutschland,06/21/2019,24.6,16,20.7,,,0,0,0,16.1,283.09,,10,24.7,65.52,Clear
Deutschland,06/22/2019,25.5,15,20.6,,,0,0,0,19,70.21,,10,8.3,58.85,Clear
Deutschland,06/23/2019,27.5,14.5,21.5,,26.8,0,0,0,16,55.17,,10,0,48.68,Clear
Deutschland,06/24/2019,29.4,15.7,23.6,,27.9,0,0,0,17.8,82.96,,10,0,43.75,Clear
Deutschland,06/25/2019,34,20.6,27.1,,32.6,0,0,0,22,121.63,31.7,10,0,39.67,Clear
Deutschland,06/26/2019,36.5,21.9,29.2,,37.1,0,0,0,25.8,227.7,40.7,10,0,47,Clear
Deutschland,06/27/2019,25.1,15.1,20.3,,,0,0,0,21.6,302.5,,10,19.4,55.59,Clear
Deutschland,06/28/2019,24.5,12.9,18.7,,,0,0,0,16.1,299.33,35.3,10,28.3,60.09,Partially cloudy
Deutschland,06/29/2019,31,13.7,23.4,,29.1,0,0,0,11.3,206.67,,10,0,46.69,Clear
Deutschland,06/30/2019,38,17.2,28.6,,35.4,0,0,0,27.9,209.87,40.7,10,0,36.59,Clear
