Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Deutschland,05/01/2019,17,10.2,12.8,,,0,0,0,25.5,285.04,,9.8,25.2,66.59,Partially cloudy
Deutschland,05/02/2019,13.4,7.1,10.2,3.6,,0,0,0,30.1,269.5,46.4,10,68.3,72.64,Partially cloudy
Deutschland,05/03/2019,11,5.7,8.7,2.3,,0,0,0,25.6,285.13,,10,31,56.38,Partially cloudy
Deutschland,05/04/2019,10.4,5,7.4,1.9,,0,0,0,19.4,282,,10,42.7,60.79,Partially cloudy
Deutschland,05/05/2019,11.6,-1,6.8,-4.1,,0,0,0,13.8,291.08,,10,4.7,57.98,Clear
Deutschland,05/06/2019,12.4,3.1,8.1,0.1,,0,0,0,24.1,275.46,40.7,10,14.5,58.87,Clear
Deutschland,05/07/2019,12.9,5.4,8.9,3,,0,0,0,18.7,265.75,,10,24.7,57.77,Clear
Deutschland,05/08/2019,18,2.7,11.6,2.8,,0,0,0,29.8,137.63,50,10,4,52.53,Clear
Deutschland,05/09/2019,17.5,11.9,14,,,0,0,0,22.2,180.87,,10,44.4,68.23,Partially cloudy
Deutschland,05/10/2019,16.9,9.9,13.1,,,0,0,0,23.9,243.57,42.5,10,24.7,71.56,Clear
Deutschland,05/11/2019,15,6,11,6.6,,0,0,0,14.9,105.25,,10,32.8,71.78,Partially cloudy
Deutschland,05/12/2019,16.6,8.1,12,5.9,,0,0,0,20.6,334.33,37.1,10,8.1,48.74,Clear
Deutschland,05/13/2019,15.5,4.2,10.6,2.3,,0,0,0,16.8,232.13,,10,8.8,48.17,Clear
Deutschland,05/14/2019,13.1,5,9.2,2.8,,0,0,0,22,104.58,46.4,10,14.9,54.45,Clear
Deutschland,05/15/2019,13.4,2.1,8.4,0.2,,0,0,0,19.2,32.08,,10,21.4,55.6,Clear
Deutschland,05/16/2019,11.9,7,9.6,4.5,,0,0,0,14.2,127.08,,8.6,83.1,89.26,Overcast
Deutschland,05/17/2019,19.9,6.1,13.5,8.2,,0,0,0,16.3,87.65,,7.1,39.6,74.63,Partially cloudy
Deutschland,05/18/2019,24.5,10.7,17.9,,,0,0,0,24.1,111.71,,9.9,2.8,60.36,Clear
Deutschland,05/19/2019,24.9,12.2,19.1,,,0,0,0,22.6,71.04,,10,14.9,60.79,Clear
Deutschland,05/20/2019,24.7,14.9,18.9,,,0,0,0,18.6,63.92,,9.7,19,74.66,Clear
Deutschland,05/21/2019,23.6,12.9,18.3,,,0,0,0,15.4,189.13,,9.3,31.3,72.69,Partially cloudy
Deutschland,05/22/2019,16.1,12,13.2,,,0,0,0,23.7,298.38,38.9,9.4,76.5,87.04,Overcast
Deutschland,05/23/2019,19.4,8.3,14.3,6.6,,0,0,0,16,234.79,29.5,10,11,62.27,Clear
Deutschland,05/24/2019,22.9,10.2,17.5,,,0,0,0,20.7,214.14,,10,0,53.77,Clear
Deutschland,05/25/2019,17.7,10.1,13.8,,,0,0,0,19.8,292.42,,10,47.3,63.65,Partially cloudy
Deutschland,05/26/2019,21.1,8,15.7,7,,0,0,0,34.2,245,44.6,10,16.7,61.13,Clear
Deutschland,05/27/2019,20.7,16.9,18.5,,,0,0,0,22.9,237.33,,10,18.2,62.69,Clear
Deutschland,05/28/2019,19,11.8,15.7,,,0,0,0,17.2,290.54,,10,16.4,64.97,Clear
Deutschland,05/29/2019,17.5,9.1,13,7.1,,0,0,0,18.4,309.17,35.3,10,11.8,50.89,Clear
Deutschland,05/30/2019,22.9,7.2,15.9,7.3,,0,0,0,23.2,183.42,38.9,10,1.1,50.36,Clear
Deutschland,05/31/2019,23.9,13.4,18.9,,,0,0,0,22.8,231.71,,10,25.1,70.03,Partially cloudy
