Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Deutschland,09/01/2019,29,18.4,23.6,,29,0.11,0,0,25.4,232.42,,32.5,4.3,59.68,Rain
Deutschland,09/02/2019,20.9,12.5,16.9,,,0,0,0,19.9,287.21,,44.8,7.4,58.58,Clear
Deutschland,09/03/2019,20.8,9.2,15.1,7.8,,0.35,0,0,20.3,232.71,,44.2,1.6,64.35,Rain
Deutschland,09/04/2019,26.3,12.6,18.9,,,0,0,0,18.1,215.04,,40.5,,60.02,Clear
Deutschland,09/05/2019,20.9,14.2,17.1,,,0.73,0,0,31.2,264.42,,41,8.7,64.1,Rain
Deutschland,09/06/2019,20.1,7.7,14.2,6.1,,0,0,0,18.1,231.96,,44.4,4.3,59.26,Clear
Deutschland,09/07/2019,19.2,8.5,13.8,7.3,,1.82,0,0,12.5,161.04,,39.8,5.6,61.7,Rain
Deutschland,09/08/2019,19.8,10.4,15,,,0.04,0,0,8.6,131.79,,36.4,,73.13,Rain
Deutschland,09/09/2019,14.3,12.7,13.4,,,19.97,0,0,21.6,104.88,,14.1,,92.44,Rain
Deutschland,09/10/2019,18.9,12.2,14.7,,,0.88,0,0,30.1,255.88,,28.9,10,73.53,Rain
Deutschland,09/11/2019,21.8,8.1,15.2,6.5,,0,0,0,17.2,205.17,,46,5.2,61.81,Clear
Deutschland,09/12/2019,21.4,14.3,17.1,,,0.46,0,0,15.4,233.08,,36.9,6.5,77.83,Rain
Deutschland,09/13/2019,20.8,12.1,16.8,,,0.22,0,0,28.2,273.83,,44.1,6,73.63,Rain
Deutschland,09/14/2019,18.5,7.5,12.9,6.2,,0,0,0,10.1,281.71,,42.4,7.5,69.12,Clear
Deutschland,09/15/2019,22.9,9.2,15.7,7,,0,0,0,24.3,233.25,,42.3,0,57.84,Clear
Deutschland,09/16/2019,15.3,11.9,13.8,,,0.28,0,0,19.3,271.17,,28,,77.99,Rain
Deutschland,09/17/2019,14.3,9.6,11.7,6.2,,3.25,0,0,31,267.71,,32.6,3.7,78.92,Rain
Deutschland,09/18/2019,15.2,6.9,10.8,3.6,,0.3,0,0,29.2,287.5,,42.3,1.4,69.45,Rain
Deutschland,09/19/2019,15.8,6.2,10.5,3.4,,0.02,0,0,16.7,288.17,,44,10.8,70.81,Rain
Deutschland,09/20/2019,16.2,4.9,10.6,2.7,,0,0,0,17.7,261.58,,40.3,13,74.79,Clear
Deutschland,09/21/2019,20.8,8.6,14.2,7,,0,0,0,14.3,216.21,,47,5,64.75,Clear
Deutschland,09/22/2019,24.4,7.6,15.5,5.5,,0,0,0,13.5,119.92,,47.2,4.5,61.81,Clear
Deutschland,09/23/2019,22.5,9.2,15.7,7.6,,0,0,0,14,134.79,,42.1,2.2,61.94,Clear
Deutschland,09/24/2019,18.6,13,15.2,,,0,0,0,9.4,232.08,,22.6,,84.35,Clear
Deutschland,09/25/2019,16.5,12.6,14.3,,,3.41,0,0,11.2,171.54,,19.1,,91.18,Rain
Deutschland,09/26/2019,19.3,10.3,14.5,,,0.07,0,0,11.3,204.29,,31.2,7.8,87.05,Rain
Deutschland,09/27/2019,16.4,12.3,14.8,,,11.18,0,0,13.6,203,,25,6.5,94.85,Rain
Deutschland,09/28/2019,17.7,11.3,13.9,,,5.06,0,0,18.2,216.63,,37.3,4.8,90.1,Rain
Deutschland,09/29/2019,15,12.6,14,,,5.88,0,0,19,209.13,,35.3,,86.68,Rain
Deutschland,09/30/2019,15.9,12.1,14.4,,,8.99,0,0,48.1,251.54,,37.3,,85.34,Rain
