Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Deutschland,04/01/2020,9,-2.3,3.2,-7.2,,0,0,0,21.4,248.58,,49.3,2,55.95,Clear
Deutschland,04/02/2020,9.7,3.7,6.3,0.4,,0,0,0,24.6,248.92,,41.9,0.3,61.39,Clear
Deutschland,04/03/2020,9.7,3.5,6.8,0.2,,0.17,0,0,27.2,272.21,,36,5.2,55.22,Rain
Deutschland,04/04/2020,11.8,3.3,6.9,1.3,,0,0,0,11.2,254.83,,39.8,2.4,52.79,Clear
Deutschland,04/05/2020,16,0.7,8.7,-3.2,,0,0,0,19.1,117.5,,40.6,1.9,49.55,Clear
Deutschland,04/06/2020,21.6,4.7,12.9,1,,0,0,0,22.1,146.75,,39.9,0,39.91,Clear
Deutschland,04/07/2020,19.3,7.4,13.2,5.1,,0,0,0,17.2,230.58,,37.3,2.4,51.55,Clear
Deutschland,04/08/2020,22.1,4.7,13.3,2,,0,0,0,14.3,125.21,,44.2,1.8,48.79,Clear
Deutschland,04/09/2020,17.2,6.8,12.1,4.7,,0,0,0,21.7,294.71,,40.8,3.6,56.23,Clear
Deutschland,04/10/2020,15.2,1.6,8.8,0.2,,0,0,0,13.8,303.25,,48.5,5.4,55.45,Clear
Deutschland,04/11/2020,15.1,0.4,8.2,-1.1,,0,0,0,8.9,199.33,,40.3,2.6,56.27,Clear
Deutschland,04/12/2020,23.2,2.9,13.4,0.3,,0.01,0,0,14.4,198.38,,45.6,6.8,45.24,Rain
Deutschland,04/13/2020,11.8,4.1,8,0.1,,2.05,0,0,26.1,304.42,,37.7,6.2,56.13,Rain
Deutschland,04/14/2020,10.2,-0.6,5.3,-5.1,,0.12,0,0,23.6,292.58,,46.3,3.6,54.11,Rain
Deutschland,04/15/2020,15.2,4.1,8.6,0,,0,0,0,27.2,265.92,,44.8,5.3,56.34,Clear
Deutschland,04/16/2020,17.4,4.4,11.2,1.4,,0,0,0,17.4,280.67,,41.9,6.8,53.03,Clear
Deutschland,04/17/2020,16.2,3.8,10.6,2.4,,0,0,0,11.6,167.54,,43.9,6,56.94,Clear
Deutschland,04/18/2020,16.9,2.7,10,-0.7,,0,0,0,14.9,55.5,,49.5,4.3,41.02,Clear
Deutschland,04/19/2020,13.1,4.8,8.7,1.4,,0,0,0,23,54.04,,49.7,1.9,40.05,Clear
Deutschland,04/20/2020,15.1,2,9,-0.9,,0,0,0,20.7,67.88,,49.8,0,47.51,Clear
Deutschland,04/21/2020,17,4,10.6,1.1,,0,0,0,24.7,76.08,,43.3,0,47.16,Clear
Deutschland,04/22/2020,18.3,4.3,11.8,1.9,,0,0,0,17.1,63.54,,47.1,0.5,50.75,Clear
Deutschland,04/23/2020,21.1,4.8,13.5,2.8,,0,0,0,11.2,75.83,,44.6,0.6,49.86,Clear
Deutschland,04/24/2020,20.9,7.2,14.1,5.8,,0,0,0,25.3,249.54,,34.5,4.4,46.45,Clear
Deutschland,04/25/2020,14.5,7.5,10.7,4,,0.02,0,0,24,308.13,,43.1,5.5,56.25,Rain
Deutschland,04/26/2020,18,3.6,11.3,3.9,,0,0,0,12.5,239.83,,49.1,0.3,51.98,Clear
Deutschland,04/27/2020,21.7,3.1,13.3,2.9,,0,0,0,14.7,199.21,,42.9,2.6,51.99,Clear
Deutschland,04/28/2020,22.2,8.4,15.7,7.2,,0.09,0,0,12.6,227.13,,36.3,3.1,50.31,Rain
Deutschland,04/29/2020,15.8,8,11.3,6.2,,10.47,0,0,14.5,156.46,,20.8,,81.87,Rain
Deutschland,04/30/2020,17.6,8.8,12.9,6.9,,1.23,0,0,18.3,183.42,,24.2,,79.82,Rain
Deutschland,04/01/2020,9,-2.3,3.2,-7.2,,0,0,0,21.4,248.58,,49.3,2,55.95,Clear
Deutschland,04/02/2020,9.7,3.7,6.3,0.4,,0,0,0,24.6,248.92,,41.9,0.3,61.39,Clear
Deutschland,04/03/2020,9.7,3.5,6.8,0.2,,0.17,0,0,27.2,272.21,,36,5.2,55.22,Rain
Deutschland,04/04/2020,11.8,3.3,6.9,1.3,,0,0,0,11.2,254.83,,39.8,2.4,52.79,Clear
Deutschland,04/05/2020,16,0.7,8.7,-3.2,,0,0,0,19.1,117.5,,40.6,1.9,49.55,Clear
Deutschland,04/06/2020,21.6,4.7,12.9,1,,0,0,0,22.1,146.75,,39.9,0,39.91,Clear
Deutschland,04/07/2020,19.3,7.4,13.2,5.1,,0,0,0,17.2,230.58,,37.3,2.4,51.55,Clear
Deutschland,04/08/2020,22.1,4.7,13.3,2,,0,0,0,14.3,125.21,,44.2,1.8,48.79,Clear
Deutschland,04/09/2020,17.2,6.8,12.1,4.7,,0,0,0,21.7,294.71,,40.8,3.6,56.23,Clear
Deutschland,04/10/2020,15.2,1.6,8.8,0.2,,0,0,0,13.8,303.25,,48.5,5.4,55.45,Clear
Deutschland,04/11/2020,15.1,0.4,8.2,-1.1,,0,0,0,8.9,199.33,,40.3,2.6,56.27,Clear
Deutschland,04/12/2020,23.2,2.9,13.4,0.3,,0.01,0,0,14.4,198.38,,45.6,6.8,45.24,Rain
Deutschland,04/13/2020,11.8,4.1,8,0.1,,2.05,0,0,26.1,304.42,,37.7,6.2,56.13,Rain
Deutschland,04/14/2020,10.2,-0.6,5.3,-5.1,,0.12,0,0,23.6,292.58,,46.3,3.6,54.11,Rain
Deutschland,04/15/2020,15.2,4.1,8.6,0,,0,0,0,27.2,265.92,,44.8,5.3,56.34,Clear
Deutschland,04/16/2020,17.4,4.4,11.2,1.4,,0,0,0,17.4,280.67,,41.9,6.8,53.03,Clear
Deutschland,04/17/2020,16.2,3.8,10.6,2.4,,0,0,0,11.6,167.54,,43.9,6,56.94,Clear
Deutschland,04/18/2020,16.9,2.7,10,-0.7,,0,0,0,14.9,55.5,,49.5,4.3,41.02,Clear
Deutschland,04/19/2020,13.1,4.8,8.7,1.4,,0,0,0,23,54.04,,49.7,1.9,40.05,Clear
Deutschland,04/20/2020,15.1,2,9,-0.9,,0,0,0,20.7,67.88,,49.8,0,47.51,Clear
Deutschland,04/21/2020,17,4,10.6,1.1,,0,0,0,24.7,76.08,,43.3,0,47.16,Clear
Deutschland,04/22/2020,18.3,4.3,11.8,1.9,,0,0,0,17.1,63.54,,47.1,0.5,50.75,Clear
Deutschland,04/23/2020,21.1,4.8,13.5,2.8,,0,0,0,11.2,75.83,,44.6,0.6,49.86,Clear
Deutschland,04/24/2020,20.9,7.2,14.1,5.8,,0,0,0,25.3,249.54,,34.5,4.4,46.45,Clear
Deutschland,04/25/2020,14.5,7.5,10.7,4,,0.02,0,0,24,308.13,,43.1,5.5,56.25,Rain
Deutschland,04/26/2020,18,3.6,11.3,3.9,,0,0,0,12.5,239.83,,49.1,0.3,51.98,Clear
Deutschland,04/27/2020,21.7,3.1,13.3,2.9,,0,0,0,14.7,199.21,,42.9,2.6,51.99,Clear
Deutschland,04/28/2020,22.2,8.4,15.7,7.2,,0.09,0,0,12.6,227.13,,36.3,3.1,50.31,Rain
Deutschland,04/29/2020,15.8,8,11.3,6.2,,10.47,0,0,14.5,156.46,,20.8,,81.87,Rain
Deutschland,04/30/2020,17.6,8.8,12.9,6.9,,1.23,0,0,18.3,183.42,,24.2,,79.82,Rain
