Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Deutschland,12/01/2020,3.4,0.4,2.1,-2.3,,0,0,0,12.3,143.08,,21.5,6.5,82.31,Clear
Deutschland,12/02/2020,1.9,-2.5,-0.8,-7.1,,0,0,0,13.6,103.38,,7.3,0,91.51,Clear
Deutschland,12/03/2020,0.3,-2.8,-1.2,-8,,0,0,0,18.1,140.75,,10.4,13,83.5,Clear
Deutschland,12/04/2020,2.9,-2.4,0.1,-7.2,,0,0,0,17.1,119.29,,20.6,0,85.77,Clear
Deutschland,12/05/2020,7,0.2,2.7,-3.9,,0,0,0,17.9,110.5,,21.9,0,90.27,Clear
Deutschland,12/06/2020,10.1,2.9,6.5,-0.4,,0,0,0,19.4,100.67,,27.4,4.3,84.55,Clear
Deutschland,12/07/2020,7.5,3.4,5.7,1.8,,0.02,0,0,21.5,121.13,,32,0,83.46,Rain
Deutschland,12/08/2020,5.1,1.4,3.4,-2.5,,0,0,0,15.5,89.42,,14.7,0,88.97,Clear
Deutschland,12/09/2020,1.9,0.8,1.4,-3.3,,0.34,0,0,17.7,93,,4.3,,92.38,Rain
Deutschland,12/10/2020,0.5,-1.2,-0.7,-5.5,,0,0,0,16.3,98.08,,3.1,,96.04,Clear
Deutschland,12/11/2020,0.4,-1.3,-0.5,-4.8,,0,0,0,10.3,129,,6.5,,94.98,Clear
Deutschland,12/12/2020,1.7,-0.2,0.9,,,0,0,0,,,,4.8,,92.77,Clear
Deutschland,12/13/2020,3.2,1.6,2.4,-1,,0.03,0,0,8.8,84.52,,2.4,,96.55,Rain
Deutschland,12/14/2020,7,2.9,4.8,-0.3,,0,0,0,16.9,154.83,,15.7,13,91.8,Clear
Deutschland,12/15/2020,6.8,3.5,5.4,0.4,,0.23,0,0,16.6,168.79,,30,,82.18,Rain
Deutschland,12/16/2020,8.6,5.1,7.3,2.6,,0.06,0,0,13.6,161.13,,10.2,0,94.22,Rain
Deutschland,12/17/2020,7,2.4,5,-1.4,,0.91,0,0,17.2,170.58,,18.3,0,89.03,Rain
Deutschland,12/18/2020,7.8,1.8,5,-1.8,,0.1,0,0,16.6,188.5,,21.3,3.3,90.92,Rain
Deutschland,12/19/2020,6.5,0.8,2.8,-3.2,,0,0,0,16.2,157.96,,24.3,1.2,88.91,Clear
Deutschland,12/20/2020,5.1,1.2,3.2,-2.6,,0.37,0,0,16,162.54,,32.4,,83.99,Rain
Deutschland,12/21/2020,6.2,3.2,4.1,-0.5,,0.98,0,0,18.1,183.21,,15.9,2.2,93.69,Rain
Deutschland,12/22/2020,12.7,4.2,8.6,0.5,,7.68,0,0,25.7,223.71,,20.5,,90.57,Rain
Deutschland,12/23/2020,8.6,4.8,6.5,2.8,,3.96,0,0,14.7,182.42,,21.2,,92.1,Rain
Deutschland,12/24/2020,10,3.2,6.5,-1.3,,3.1,0,0,26.7,259.04,,23.3,3.7,91.86,Rain
Deutschland,12/25/2020,3.7,0.9,2.3,-3.4,,0.42,0,0,17.7,301.83,,35.7,,87.83,Rain
Deutschland,12/26/2020,1.7,-0.8,0.6,-5.1,,0.02,0,0,20.3,227.75,,29.1,,87.51,Rain
Deutschland,12/27/2020,1.9,0.5,1.3,-5.5,,0,0,0,30.8,170.75,,46.8,,65.62,Clear
Deutschland,12/28/2020,4,1.1,2.1,-3.2,,0.21,0,0,18.9,132.29,,40.8,,79.66,Rain
Deutschland,12/29/2020,3.4,-0.2,1.6,-3.9,,1.77,0,0,17.9,179.17,,18.3,0,92.85,Rain
Deutschland,12/30/2020,4.6,-0.7,1.9,-5.4,,0,0,0,17.6,191.17,,40.3,1.4,86.09,Clear
Deutschland,12/31/2020,1.7,1.7,1.7,-1.9,,0,0,0,12.8,216,,35,,89.92,Clear
Deutschland,12/01/2020,3.4,0.4,2.1,-2.3,,0,0,0,12.3,143.08,,21.5,6.5,82.31,Clear
Deutschland,12/02/2020,1.9,-2.5,-0.8,-7.1,,0,0,0,13.6,103.38,,7.3,0,91.51,Clear
Deutschland,12/03/2020,0.3,-2.8,-1.2,-8,,0,0,0,18.1,140.75,,10.4,13,83.5,Clear
Deutschland,12/04/2020,2.9,-2.4,0.1,-7.2,,0,0,0,17.1,119.29,,20.6,0,85.77,Clear
Deutschland,12/05/2020,7,0.2,2.7,-3.9,,0,0,0,17.9,110.5,,21.9,0,90.27,Clear
Deutschland,12/06/2020,10.1,2.9,6.5,-0.4,,0,0,0,19.4,100.67,,27.4,4.3,84.55,Clear
Deutschland,12/07/2020,7.5,3.4,5.7,1.8,,0.02,0,0,21.5,121.13,,32,0,83.46,Rain
Deutschland,12/08/2020,5.1,1.4,3.4,-2.5,,0,0,0,15.5,89.42,,14.7,0,88.97,Clear
Deutschland,12/09/2020,1.9,0.8,1.4,-3.3,,0.34,0,0,17.7,93,,4.3,,92.38,Rain
Deutschland,12/10/2020,0.5,-1.2,-0.7,-5.5,,0,0,0,16.3,98.08,,3.1,,96.04,Clear
Deutschland,12/11/2020,0.4,-1.3,-0.5,-4.8,,0,0,0,10.3,129,,6.5,,94.98,Clear
Deutschland,12/12/2020,1.7,-0.2,0.9,,,0,0,0,,,,4.8,,92.77,Clear
Deutschland,12/13/2020,3.2,1.6,2.4,-1,,0.03,0,0,8.8,84.52,,2.4,,96.55,Rain
Deutschland,12/14/2020,7,2.9,4.8,-0.3,,0,0,0,16.9,154.83,,15.7,13,91.8,Clear
Deutschland,12/15/2020,6.8,3.5,5.4,0.4,,0.23,0,0,16.6,168.79,,30,,82.18,Rain
Deutschland,12/16/2020,8.6,5.1,7.3,2.6,,0.06,0,0,13.6,161.13,,10.2,0,94.22,Rain
Deutschland,12/17/2020,7,2.4,5,-1.4,,0.91,0,0,17.2,170.58,,18.3,0,89.03,Rain
Deutschland,12/18/2020,7.8,1.8,5,-1.8,,0.1,0,0,16.6,188.5,,21.3,3.3,90.92,Rain
Deutschland,12/19/2020,6.5,0.8,2.8,-3.2,,0,0,0,16.2,157.96,,24.3,1.2,88.91,Clear
Deutschland,12/20/2020,5.1,1.2,3.2,-2.6,,0.37,0,0,16,162.54,,32.4,,83.99,Rain
Deutschland,12/21/2020,6.2,3.2,4.1,-0.5,,0.98,0,0,18.1,183.21,,15.9,2.2,93.69,Rain
Deutschland,12/22/2020,12.7,4.2,8.6,0.5,,7.68,0,0,25.7,223.71,,20.5,,90.57,Rain
Deutschland,12/23/2020,8.6,4.8,6.5,2.8,,3.96,0,0,14.7,182.42,,21.2,,92.1,Rain
Deutschland,12/24/2020,10,3.2,6.5,-1.3,,3.1,0,0,26.7,259.04,,23.3,3.7,91.86,Rain
Deutschland,12/25/2020,3.7,0.9,2.3,-3.4,,0.42,0,0,17.7,301.83,,35.7,,87.83,Rain
Deutschland,12/26/2020,1.7,-0.8,0.6,-5.1,,0.02,0,0,20.3,227.75,,29.1,,87.51,Rain
Deutschland,12/27/2020,1.9,0.5,1.3,-5.5,,0,0,0,30.8,170.75,,46.8,,65.62,Clear
Deutschland,12/28/2020,4,1.1,2.1,-3.2,,0.21,0,0,18.9,132.29,,40.8,,79.66,Rain
Deutschland,12/29/2020,3.4,-0.2,1.6,-3.9,,1.77,0,0,17.9,179.17,,18.3,0,92.85,Rain
Deutschland,12/30/2020,4.6,-0.7,1.9,-5.4,,0,0,0,17.6,191.17,,40.3,1.4,86.09,Clear
Deutschland,12/31/2020,1.7,1.7,1.7,-1.9,,0,0,0,12.8,216,,35,,89.92,Clear
