Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Deutschland,02/01/2020,11.7,8,10.6,4.4,,7.37,0,0,29.6,230.17,,36.4,,83.8,Rain
Deutschland,02/02/2020,8.1,5.2,6.9,2.6,,3.55,0,0,29.8,251.79,,26.9,,83.19,Rain
Deutschland,02/03/2020,9.1,5,6.7,2.3,,3.74,0,0,22.8,254.04,,20.8,,92.59,Rain
Deutschland,02/04/2020,6.4,3.6,4.8,-1.3,,0.84,0,0,27.8,279.88,,32.6,,83.05,Rain
Deutschland,02/05/2020,4.9,1.3,2.8,-2.9,,1.01,0,0,30.1,304.63,,41.2,13,78.61,Rain
Deutschland,02/06/2020,5.6,1.7,3.9,-2.7,,0.08,0,0,23.1,268.04,,29.8,,82.59,Rain
Deutschland,02/07/2020,6.3,4.5,5.2,1,,0.06,0,0,18.5,230.25,,15,,89.85,Rain
Deutschland,02/08/2020,8.3,0.8,4.5,-3.4,,0,0,0,18.1,169.13,,25.8,9.6,78.92,Clear
Deutschland,02/09/2020,11.9,5.2,8.6,1.4,,0.75,0,0,32.3,192.79,,29.8,,67.07,Rain
Deutschland,02/10/2020,13.2,3.5,7,-0.9,,12.1,0,0,37.8,235.96,,33.8,0,78.73,Rain
Deutschland,02/11/2020,6,3.2,4.4,-2.3,,0.68,0,0,38,247.13,,43.7,,71.57,Rain
Deutschland,02/12/2020,5.8,2.8,4,-2.9,,0,0,0,36.7,251.42,,48.1,3.3,65.91,Clear
Deutschland,02/13/2020,5.2,0.6,3.1,-3.8,,1.05,0,0,25.4,191.42,,38.6,4.3,76.41,Rain
Deutschland,02/14/2020,5.1,2,3.4,-0.8,,0.87,0,0,13.1,261.5,,6.7,,95,Rain
Deutschland,02/15/2020,9.8,1.4,5.1,-2.8,,0,0,0,23.7,186.75,,22.3,,84.22,Clear
Deutschland,02/16/2020,15.6,6.7,11.1,3.2,,1.67,0,0,31.4,194.5,,45.1,,61.13,Rain
Deutschland,02/17/2020,14.8,7,9.5,3.4,,0.08,0,0,33.1,232.5,,48.3,13,62.55,Rain
Deutschland,02/18/2020,7.7,4.7,6.5,0.6,,1.22,0,0,33.3,238.58,,47.6,4.3,70.93,Rain
Deutschland,02/19/2020,6.4,3.8,4.9,-0.6,,4.97,0,0,27.1,239.38,,32,,81.56,Rain
Deutschland,02/20/2020,6.9,0.8,4.5,-3.4,,0.85,0,0,24.5,203.08,,32.5,0,82.23,Rain
Deutschland,02/21/2020,7.1,3.9,5.7,-1.3,,4.16,0,0,33.5,247.17,,38.5,,75.05,Rain
Deutschland,02/22/2020,11.5,5.6,7.9,1.8,,0.91,0,0,39.1,229.75,,41.7,,64.03,Rain
Deutschland,02/23/2020,7.7,4.3,6.4,-1.4,,14.5,0,0,37,258.71,,26.3,,84.38,Rain
Deutschland,02/24/2020,6.8,3.4,4.7,-2.2,,4.69,0,0,35.3,234.58,,30.6,8.7,81.01,Rain
Deutschland,02/25/2020,9.1,3.7,7.5,0.3,,1.94,0,0,27.3,241,,38.6,0.4,76.9,Rain
Deutschland,02/26/2020,3.9,1.3,2.5,-2.8,,3.54,0,0,20.5,241.08,,16.3,13,90.13,Rain
Deutschland,02/27/2020,5.2,1.5,2.8,-2.5,,0.55,0,0,20.1,220.38,,30.7,,83.64,Rain
Deutschland,02/28/2020,6.9,0.1,3,-3.6,,0.06,0,0,25.2,255.33,,33.5,,78.8,Rain
Deutschland,02/29/2020,11,1.4,6.1,-3.5,,3.87,0,0,23.3,185.96,,28.6,,79.98,Rain
Deutschland,02/01/2020,11.7,8,10.6,4.4,,7.37,0,0,29.6,230.17,,36.4,,83.8,Rain
Deutschland,02/02/2020,8.1,5.2,6.9,2.6,,3.55,0,0,29.8,251.79,,26.9,,83.19,Rain
Deutschland,02/03/2020,9.1,5,6.7,2.3,,3.74,0,0,22.8,254.04,,20.8,,92.59,Rain
Deutschland,02/04/2020,6.4,3.6,4.8,-1.3,,0.84,0,0,27.8,279.88,,32.6,,83.05,Rain
Deutschland,02/05/2020,4.9,1.3,2.8,-2.9,,1.01,0,0,30.1,304.63,,41.2,13,78.61,Rain
Deutschland,02/06/2020,5.6,1.7,3.9,-2.7,,0.08,0,0,23.1,268.04,,29.8,,82.59,Rain
Deutschland,02/07/2020,6.3,4.5,5.2,1,,0.06,0,0,18.5,230.25,,15,,89.85,Rain
Deutschland,02/08/2020,8.3,0.8,4.5,-3.4,,0,0,0,18.1,169.13,,25.8,9.6,78.92,Clear
Deutschland,02/09/2020,11.9,5.2,8.6,1.4,,0.75,0,0,32.3,192.79,,29.8,,67.07,Rain
Deutschland,02/10/2020,13.2,3.5,7,-0.9,,12.1,0,0,37.8,235.96,,33.8,0,78.73,Rain
Deutschland,02/11/2020,6,3.2,4.4,-2.3,,0.68,0,0,38,247.13,,43.7,,71.57,Rain
Deutschland,02/12/2020,5.8,2.8,4,-2.9,,0,0,0,36.7,251.42,,48.1,3.3,65.91,Clear
Deutschland,02/13/2020,5.2,0.6,3.1,-3.8,,1.05,0,0,25.4,191.42,,38.6,4.3,76.41,Rain
Deutschland,02/14/2020,5.1,2,3.4,-0.8,,0.87,0,0,13.1,261.5,,6.7,,95,Rain
Deutschland,02/15/2020,9.8,1.4,5.1,-2.8,,0,0,0,23.7,186.75,,22.3,,84.22,Clear
Deutschland,02/16/2020,15.6,6.7,11.1,3.2,,1.67,0,0,31.4,194.5,,45.1,,61.13,Rain
Deutschland,02/17/2020,14.8,7,9.5,3.4,,0.08,0,0,33.1,232.5,,48.3,13,62.55,Rain
Deutschland,02/18/2020,7.7,4.7,6.5,0.6,,1.22,0,0,33.3,238.58,,47.6,4.3,70.93,Rain
Deutschland,02/19/2020,6.4,3.8,4.9,-0.6,,4.97,0,0,27.1,239.38,,32,,81.56,Rain
Deutschland,02/20/2020,6.9,0.8,4.5,-3.4,,0.85,0,0,24.5,203.08,,32.5,0,82.23,Rain
Deutschland,02/21/2020,7.1,3.9,5.7,-1.3,,4.16,0,0,33.5,247.17,,38.5,,75.05,Rain
Deutschland,02/22/2020,11.5,5.6,7.9,1.8,,0.91,0,0,39.1,229.75,,41.7,,64.03,Rain
Deutschland,02/23/2020,7.7,4.3,6.4,-1.4,,14.5,0,0,37,258.71,,26.3,,84.38,Rain
Deutschland,02/24/2020,6.8,3.4,4.7,-2.2,,4.69,0,0,35.3,234.58,,30.6,8.7,81.01,Rain
Deutschland,02/25/2020,9.1,3.7,7.5,0.3,,1.94,0,0,27.3,241,,38.6,0.4,76.9,Rain
Deutschland,02/26/2020,3.9,1.3,2.5,-2.8,,3.54,0,0,20.5,241.08,,16.3,13,90.13,Rain
Deutschland,02/27/2020,5.2,1.5,2.8,-2.5,,0.55,0,0,20.1,220.38,,30.7,,83.64,Rain
Deutschland,02/28/2020,6.9,0.1,3,-3.6,,0.06,0,0,25.2,255.33,,33.5,,78.8,Rain
Deutschland,02/29/2020,11,1.4,6.1,-3.5,,3.87,0,0,23.3,185.96,,28.6,,79.98,Rain
