Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Deutschland,07/01/2020,22.1,17.3,19.1,,,5.99,0,0,17.9,234.67,,38.9,,72.65,Rain
Deutschland,07/02/2020,23.3,15.3,19.2,,,0.15,0,0,13.9,254.25,,29.1,0,73.91,Rain
Deutschland,07/03/2020,22.4,15,18.6,,,0.16,0,0,18.1,268.13,,44,13,68.18,Rain
Deutschland,07/04/2020,24.2,14.1,19.9,,,0.03,0,0,23.6,225.54,,45.9,4,59.07,Rain
Deutschland,07/05/2020,26.3,19.1,22,,,1.21,0,0,27.2,230.79,,43.5,0,67.08,Rain
Deutschland,07/06/2020,19.6,13.3,17.4,,,0.81,0,0,29.5,257.29,,44,6.8,67.32,Rain
Deutschland,07/07/2020,19.6,10.8,15.2,,,0.2,0,0,19.6,263.88,,44.2,2.2,64.26,Rain
Deutschland,07/08/2020,17,12,14.5,,,0.55,0,0,15,245.17,,38.4,,75.47,Rain
Deutschland,07/09/2020,18.7,12.8,15.9,,,8.29,0,0,15.1,195.46,,23.6,,88.4,Rain
Deutschland,07/10/2020,23.6,13.1,17.8,,,4.62,0,0,30.5,218.46,,28.3,,84.95,Rain
Deutschland,07/11/2020,19,10.2,14.6,,,0.27,0,0,16.4,276.25,,47.4,1.9,70.1,Rain
Deutschland,07/12/2020,20.2,8.8,15,7.7,,0,0,0,17,292.54,,48.8,2.7,66.44,Clear
Deutschland,07/13/2020,23.7,10.6,17.5,,,0,0,0,11.8,250.08,,49.7,1.4,60.43,Clear
Deutschland,07/14/2020,27.6,12,20.5,,26.7,0,0,0,13.5,178.96,,47.2,4.6,52.39,Clear
Deutschland,07/15/2020,19,14.3,16.2,,,5.64,0,0,15.1,283.38,,15.1,,84.09,Rain
Deutschland,07/16/2020,19.5,13.2,16.1,,,1.35,0,0,16.5,268.17,,25.8,,78.85,Rain
Deutschland,07/17/2020,19.7,10.5,15.8,,,0.48,0,0,15.6,286.79,,37.1,2.2,82.17,Rain
Deutschland,07/18/2020,26.5,12.1,19.7,,,0,0,0,8.3,144,,28.6,2.9,69.76,Clear
Deutschland,07/19/2020,29.3,15.5,22.6,,28.7,2.62,0,0,10.6,158.75,,37.4,0,63.46,Rain
Deutschland,07/20/2020,23.9,15,19.5,,,0.52,0,0,20.4,269.75,,36.6,8,74.13,Rain
Deutschland,07/21/2020,22,11.3,16.8,,,0,0,0,15.5,300.54,,45.1,5.3,62.02,Clear
Deutschland,07/22/2020,21.5,9.8,16.2,8.9,,0,0,0,15.8,278.38,,45.6,2.2,60.66,Clear
Deutschland,07/23/2020,22.6,12.5,17.3,,,1.31,0,0,11.9,253.42,,40.2,0,61.17,Rain
Deutschland,07/24/2020,27.1,13,20,,26.5,0,0,0,24.8,224.75,,49.9,0.2,53.35,Clear
Deutschland,07/25/2020,25.5,13.9,19.8,,,0,0,0,9.4,243.96,,45.6,4.1,66.2,Clear
Deutschland,07/26/2020,20.9,16.2,18.4,,,7.92,0,0,16,188.67,,33.2,0,79.51,Rain
Deutschland,07/27/2020,25.3,13.4,19.5,,,0.32,0,0,11.9,182.96,,37.7,3.7,72.11,Rain
Deutschland,07/28/2020,27,18.6,22.3,,26.8,0,0,0,24.9,228.92,,50,4.3,57.83,Clear
Deutschland,07/29/2020,22.3,13.8,18.2,,,0,0,0,25.1,266.33,,50,4.3,55.82,Clear
Deutschland,07/30/2020,23,10.6,17,,,0,0,0,18.5,280.67,,43.1,4.9,57.04,Clear
Deutschland,07/31/2020,26.1,11.5,19.1,,,0,0,0,15.7,275.75,,47.6,4.1,57.45,Clear
Deutschland,07/01/2020,22.1,17.3,19.1,,,5.99,0,0,17.9,234.67,,38.9,,72.65,Rain
Deutschland,07/02/2020,23.3,15.3,19.2,,,0.15,0,0,13.9,254.25,,29.1,0,73.91,Rain
Deutschland,07/03/2020,22.4,15,18.6,,,0.16,0,0,18.1,268.13,,44,13,68.18,Rain
Deutschland,07/04/2020,24.2,14.1,19.9,,,0.03,0,0,23.6,225.54,,45.9,4,59.07,Rain
Deutschland,07/05/2020,26.3,19.1,22,,,1.21,0,0,27.2,230.79,,43.5,0,67.08,Rain
Deutschland,07/06/2020,19.6,13.3,17.4,,,0.81,0,0,29.5,257.29,,44,6.8,67.32,Rain
Deutschland,07/07/2020,19.6,10.8,15.2,,,0.2,0,0,19.6,263.88,,44.2,2.2,64.26,Rain
Deutschland,07/08/2020,17,12,14.5,,,0.55,0,0,15,245.17,,38.4,,75.47,Rain
Deutschland,07/09/2020,18.7,12.8,15.9,,,8.29,0,0,15.1,195.46,,23.6,,88.4,Rain
Deutschland,07/10/2020,23.6,13.1,17.8,,,4.62,0,0,30.5,218.46,,28.3,,84.95,Rain
Deutschland,07/11/2020,19,10.2,14.6,,,0.27,0,0,16.4,276.25,,47.4,1.9,70.1,Rain
Deutschland,07/12/2020,20.2,8.8,15,7.7,,0,0,0,17,292.54,,48.8,2.7,66.44,Clear
Deutschland,07/13/2020,23.7,10.6,17.5,,,0,0,0,11.8,250.08,,49.7,1.4,60.43,Clear
Deutschland,07/14/2020,27.6,12,20.5,,26.7,0,0,0,13.5,178.96,,47.2,4.6,52.39,Clear
Deutschland,07/15/2020,19,14.3,16.2,,,5.64,0,0,15.1,283.38,,15.1,,84.09,Rain
Deutschland,07/16/2020,19.5,13.2,16.1,,,1.35,0,0,16.5,268.17,,25.8,,78.85,Rain
Deutschland,07/17/2020,19.7,10.5,15.8,,,0.48,0,0,15.6,286.79,,37.1,2.2,82.17,Rain
Deutschland,07/18/2020,26.5,12.1,19.7,,,0,0,0,8.3,144,,28.6,2.9,69.76,Clear
Deutschland,07/19/2020,29.3,15.5,22.6,,28.7,2.62,0,0,10.6,158.75,,37.4,0,63.46,Rain
Deutschland,07/20/2020,23.9,15,19.5,,,0.52,0,0,20.4,269.75,,36.6,8,74.13,Rain
Deutschland,07/21/2020,22,11.3,16.8,,,0,0,0,15.5,300.54,,45.1,5.3,62.02,Clear
Deutschland,07/22/2020,21.5,9.8,16.2,8.9,,0,0,0,15.8,278.38,,45.6,2.2,60.66,Clear
Deutschland,07/23/2020,22.6,12.5,17.3,,,1.31,0,0,11.9,253.42,,40.2,0,61.17,Rain
Deutschland,07/24/2020,27.1,13,20,,26.5,0,0,0,24.8,224.75,,49.9,0.2,53.35,Clear
Deutschland,07/25/2020,25.5,13.9,19.8,,,0,0,0,9.4,243.96,,45.6,4.1,66.2,Clear
Deutschland,07/26/2020,20.9,16.2,18.4,,,7.92,0,0,16,188.67,,33.2,0,79.51,Rain
Deutschland,07/27/2020,25.3,13.4,19.5,,,0.32,0,0,11.9,182.96,,37.7,3.7,72.11,Rain
Deutschland,07/28/2020,27,18.6,22.3,,26.8,0,0,0,24.9,228.92,,50,4.3,57.83,Clear
Deutschland,07/29/2020,22.3,13.8,18.2,,,0,0,0,25.1,266.33,,50,4.3,55.82,Clear
Deutschland,07/30/2020,23,10.6,17,,,0,0,0,18.5,280.67,,43.1,4.9,57.04,Clear
Deutschland,07/31/2020,26.1,11.5,19.1,,,0,0,0,15.7,275.75,,47.6,4.1,57.45,Clear
