Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Deutschland,10/01/2020,16.2,8.8,12,8,,0.01,0,0,9.4,117.17,,19.1,1.9,89.86,Rain
Deutschland,10/02/2020,16.3,11.7,13.5,,,0.38,0,0,19.2,100.75,,15,0,88.62,Rain
Deutschland,10/03/2020,21.3,12.7,16.3,,,0,0,0,18.6,100.67,,30.4,2.6,80.22,Clear
Deutschland,10/04/2020,18.3,9.6,13.9,8,,0.58,0,0,17.9,204.17,,43.3,1.6,73.21,Rain
Deutschland,10/05/2020,14.2,8,10.8,5.8,,0.99,0,0,14.8,145.79,,36.9,0,85.84,Rain
Deutschland,10/06/2020,15.2,8.6,11.8,6.1,,0.32,0,0,17.5,187,,46.1,5.2,82.43,Rain
Deutschland,10/07/2020,14.5,10.4,12.2,,,3.03,0,0,14.9,217.96,,43,,86.74,Rain
Deutschland,10/08/2020,14,8.5,11.8,6.5,,3.31,0,0,19.8,211.63,,29,5.2,86.32,Rain
Deutschland,10/09/2020,14.3,10.7,12.8,,,3.73,0,0,20.9,217.5,,34.7,0,89.23,Rain
Deutschland,10/10/2020,12.1,6.7,10.3,4.3,,0.36,0,0,19.6,231.25,,23.6,5.6,85.39,Rain
Deutschland,10/11/2020,11.1,3.9,7.1,1,,0.07,0,0,13.5,201.46,,40.7,3,84.44,Rain
Deutschland,10/12/2020,10.8,5,7.9,3.7,,0.14,0,0,12.5,243.17,,38.3,2.2,87.68,Rain
Deutschland,10/13/2020,11.7,2.5,7,0.6,,0.22,0,0,15.3,195.88,,23.1,1.4,88.86,Rain
Deutschland,10/14/2020,10.1,9.4,9.7,6.4,,13.78,0,0,26.3,249.25,,13.3,,89.16,Rain
Deutschland,10/15/2020,10.5,9.4,9.9,7.1,,2.94,0,0,19.2,151.63,,15.4,,94.68,Rain
Deutschland,10/16/2020,10.5,7.8,8.9,5.6,,0.93,0,0,13.9,106.29,,33.8,,90.81,Rain
Deutschland,10/17/2020,11.2,7.6,8.9,6.1,,0.24,0,0,10.7,187.79,,31.5,,86.15,Rain
Deutschland,10/18/2020,9.1,5.9,7.5,2.8,,1.64,0,0,24,254.54,,12.8,,92.82,Rain
Deutschland,10/19/2020,10.8,5.9,8,3.7,,0.04,0,0,14.9,226.38,,22.4,,88.56,Rain
Deutschland,10/20/2020,11.4,3.8,7.7,0.7,,0.81,0,0,18,160.08,,17,,87.15,Rain
Deutschland,10/21/2020,14.1,9.7,11.4,7.8,,2.35,0,0,20,177.46,,20.3,0,85.61,Rain
Deutschland,10/22/2020,18.2,14,15.5,,,0.22,0,0,21.5,208.96,,38.6,0,74.08,Rain
Deutschland,10/23/2020,15.9,11.5,13.6,,,9.67,0,0,15.9,210.29,,24.7,,89.75,Rain
Deutschland,10/24/2020,15.7,10.4,12.6,,,0.01,0,0,17.6,217.13,,24.5,0,89.21,Rain
Deutschland,10/25/2020,16.4,9.6,12.3,7.1,,0,0,0,19.4,172.04,,44.3,1.3,80.61,Clear
Deutschland,10/26/2020,12.8,9.9,10.9,8.2,,0.59,0,0,14.5,192.75,,23.8,,90.07,Rain
Deutschland,10/27/2020,11.9,7.2,9.4,4.7,,0,0,0,17.8,200.54,,37.8,6.5,82.97,Clear
Deutschland,10/28/2020,12.9,8.3,9.9,5.2,,0.04,0,0,21.2,188,,43.7,13,81.12,Rain
Deutschland,10/29/2020,10.9,8.4,9.6,6,,2.86,0,0,25.7,227.42,,39.8,0,83.49,Rain
Deutschland,10/30/2020,13.4,7.4,10.4,5.2,,10.86,0,0,23.9,227.38,,11.3,,94.8,Rain
Deutschland,10/31/2020,14.7,12.9,13.6,,,4.07,0,0,17.6,229.04,,6.6,,96.63,Rain
Deutschland,10/01/2020,16.2,8.8,12,8,,0.01,0,0,9.4,117.17,,19.1,1.9,89.86,Rain
Deutschland,10/02/2020,16.3,11.7,13.5,,,0.38,0,0,19.2,100.75,,15,0,88.62,Rain
Deutschland,10/03/2020,21.3,12.7,16.3,,,0,0,0,18.6,100.67,,30.4,2.6,80.22,Clear
Deutschland,10/04/2020,18.3,9.6,13.9,8,,0.58,0,0,17.9,204.17,,43.3,1.6,73.21,Rain
Deutschland,10/05/2020,14.2,8,10.8,5.8,,0.99,0,0,14.8,145.79,,36.9,0,85.84,Rain
Deutschland,10/06/2020,15.2,8.6,11.8,6.1,,0.32,0,0,17.5,187,,46.1,5.2,82.43,Rain
Deutschland,10/07/2020,14.5,10.4,12.2,,,3.03,0,0,14.9,217.96,,43,,86.74,Rain
Deutschland,10/08/2020,14,8.5,11.8,6.5,,3.31,0,0,19.8,211.63,,29,5.2,86.32,Rain
Deutschland,10/09/2020,14.3,10.7,12.8,,,3.73,0,0,20.9,217.5,,34.7,0,89.23,Rain
Deutschland,10/10/2020,12.1,6.7,10.3,4.3,,0.36,0,0,19.6,231.25,,23.6,5.6,85.39,Rain
Deutschland,10/11/2020,11.1,3.9,7.1,1,,0.07,0,0,13.5,201.46,,40.7,3,84.44,Rain
Deutschland,10/12/2020,10.8,5,7.9,3.7,,0.14,0,0,12.5,243.17,,38.3,2.2,87.68,Rain
Deutschland,10/13/2020,11.7,2.5,7,0.6,,0.22,0,0,15.3,195.88,,23.1,1.4,88.86,Rain
Deutschland,10/14/2020,10.1,9.4,9.7,6.4,,13.78,0,0,26.3,249.25,,13.3,,89.16,Rain
Deutschland,10/15/2020,10.5,9.4,9.9,7.1,,2.94,0,0,19.2,151.63,,15.4,,94.68,Rain
Deutschland,10/16/2020,10.5,7.8,8.9,5.6,,0.93,0,0,13.9,106.29,,33.8,,90.81,Rain
Deutschland,10/17/2020,11.2,7.6,8.9,6.1,,0.24,0,0,10.7,187.79,,31.5,,86.15,Rain
Deutschland,10/18/2020,9.1,5.9,7.5,2.8,,1.64,0,0,24,254.54,,12.8,,92.82,Rain
Deutschland,10/19/2020,10.8,5.9,8,3.7,,0.04,0,0,14.9,226.38,,22.4,,88.56,Rain
Deutschland,10/20/2020,11.4,3.8,7.7,0.7,,0.81,0,0,18,160.08,,17,,87.15,Rain
Deutschland,10/21/2020,14.1,9.7,11.4,7.8,,2.35,0,0,20,177.46,,20.3,0,85.61,Rain
Deutschland,10/22/2020,18.2,14,15.5,,,0.22,0,0,21.5,208.96,,38.6,0,74.08,Rain
Deutschland,10/23/2020,15.9,11.5,13.6,,,9.67,0,0,15.9,210.29,,24.7,,89.75,Rain
Deutschland,10/24/2020,15.7,10.4,12.6,,,0.01,0,0,17.6,217.13,,24.5,0,89.21,Rain
Deutschland,10/25/2020,16.4,9.6,12.3,7.1,,0,0,0,19.4,172.04,,44.3,1.3,80.61,Clear
Deutschland,10/26/2020,12.8,9.9,10.9,8.2,,0.59,0,0,14.5,192.75,,23.8,,90.07,Rain
Deutschland,10/27/2020,11.9,7.2,9.4,4.7,,0,0,0,17.8,200.54,,37.8,6.5,82.97,Clear
Deutschland,10/28/2020,12.9,8.3,9.9,5.2,,0.04,0,0,21.2,188,,43.7,13,81.12,Rain
Deutschland,10/29/2020,10.9,8.4,9.6,6,,2.86,0,0,25.7,227.42,,39.8,0,83.49,Rain
Deutschland,10/30/2020,13.4,7.4,10.4,5.2,,10.86,0,0,23.9,227.38,,11.3,,94.8,Rain
Deutschland,10/31/2020,14.7,12.9,13.6,,,4.07,0,0,17.6,229.04,,6.6,,96.63,Rain
