Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Deutschland,03/01/2021,7.9,0.2,3.8,-2.5,,0,0,0,9.9,244.5,,19.6,1.3,86.29,Clear
Deutschland,03/02/2021,10.7,-2.4,2.5,-4.3,,0,0,0,7.4,201.58,,12.7,0,85.77,Clear
Deutschland,03/03/2021,14,-0.9,6.2,-4.1,,0,0,0,17.8,183.29,,21.2,0.7,75.54,Clear
Deutschland,03/04/2021,7.1,2.1,3.5,-0.9,,0.13,0,0,18.8,278.38,,12.4,0,85.55,Rain
Deutschland,03/05/2021,5.6,-1.8,1.5,-4.7,,0.01,0,0,16.2,252.67,,29.4,3.2,71.93,Rain
Deutschland,03/06/2021,3.2,-3.4,0.7,-8,,0,0,0,19.2,257.17,,46.1,0,77.18,Clear
Deutschland,03/07/2021,4,1.4,2.7,-3.5,,0.05,0,0,24.5,266.29,,34.7,,73.81,Rain
Deutschland,03/08/2021,5.6,-2.7,1.5,-5.6,,0.28,0,0,10.9,193.71,,19,5.9,66.45,Rain
Deutschland,03/09/2021,6.1,-3.6,0.6,-8.4,,0,0,0,13.2,113.08,,43.9,1.6,56.99,Clear
Deutschland,03/10/2021,7.5,-4.4,1.5,-8.5,,0,0,0,14.8,122.79,,36.4,4.2,54.71,Clear
Deutschland,03/11/2021,11.2,1.3,5.7,-2.8,,6.74,0,0,29.5,194.5,,19.3,6.5,81.36,Rain
Deutschland,03/12/2021,9.5,4.5,6.8,-0.1,,1.2,0,0,30.6,234.63,,37.7,0,70.17,Rain
Deutschland,03/13/2021,9.2,3.8,5.4,-0.2,,5.61,0,0,29.8,209.29,,31.7,2,83.14,Rain
Deutschland,03/14/2021,7.1,3.2,4.7,-2.1,,4.42,0,0,35.4,255.63,,27.5,6,82.93,Rain
Deutschland,03/15/2021,7.1,2.4,4.3,-1.5,,6.45,0,0,21,247.92,,24.1,0,87.09,Rain
Deutschland,03/16/2021,6.8,1.6,4.1,-1.8,,0.97,0,0,23.1,309.29,,37.7,3.8,79.71,Rain
Deutschland,03/17/2021,5.3,-0.5,2,-3.2,,1.53,0,0,14.4,301.96,,22.5,0.3,88.71,Rain
Deutschland,03/18/2021,6.1,-1.6,1.5,-4.3,,0.96,0,0,14,278.13,,16.4,0,87.26,Rain
Deutschland,03/19/2021,3.3,-2.7,0.4,-7.1,,0.77,0,0,23.2,87,,14.6,2.5,79.65,Rain
Deutschland,03/20/2021,3.2,-3.3,0.4,-6.5,,0,0,0,19.8,284.92,,46,0,63.24,Clear
Deutschland,03/21/2021,9.2,2.1,4.8,-2.1,,1.01,0,0,28.6,287.92,,19.8,6.5,74.41,Rain
Deutschland,03/22/2021,9.4,-0.5,4.3,-4.2,,0,0,0,14.8,290.46,,34.2,3.3,64.09,Clear
Deutschland,03/23/2021,7,4.1,5.5,0.6,,0.34,0,0,17.3,271.46,,32.2,,83.08,Rain
Deutschland,03/24/2021,12.2,4.7,7.6,2.7,,0,0,0,15.9,230.21,,17.2,2.7,72.92,Clear
Deutschland,03/25/2021,14.7,2,8.3,-0.8,,0,0,0,12.2,253.75,,11.1,8.7,72.35,Clear
Deutschland,03/26/2021,15.1,5.5,9.7,3.7,,0.33,0,0,13.2,174,,11.9,3.5,73.48,Rain
Deutschland,03/27/2021,9.1,2.4,6.4,-1.7,,3.27,0,0,28.9,221.42,,18.8,0,77.92,Rain
Deutschland,03/28/2021,11.5,1,6.7,-2.8,,0.12,0,0,21.5,221.71,,40.4,0,72.18,Rain
Deutschland,03/29/2021,18.9,9.5,13.3,7.3,,0.06,0,0,23,231.46,,46.3,0,57.51,Rain
Deutschland,03/30/2021,21.4,7.3,14.2,5.4,,0,0,0,15.3,255.21,,42.1,0.6,58.27,Clear
Deutschland,03/31/2021,23.5,6.4,15,4.9,,0,0,0,11.2,210.3,,33.2,2,55.6,Clear
Deutschland,03/01/2021,7.9,0.2,3.8,-2.5,,0,0,0,9.9,244.5,,19.6,1.3,86.29,Clear
Deutschland,03/02/2021,10.7,-2.4,2.5,-4.3,,0,0,0,7.4,201.58,,12.7,0,85.77,Clear
Deutschland,03/03/2021,14,-0.9,6.2,-4.1,,0,0,0,17.8,183.29,,21.2,0.7,75.54,Clear
Deutschland,03/04/2021,7.1,2.1,3.5,-0.9,,0.13,0,0,18.8,278.38,,12.4,0,85.55,Rain
Deutschland,03/05/2021,5.6,-1.8,1.5,-4.7,,0.01,0,0,16.2,252.67,,29.4,3.2,71.93,Rain
Deutschland,03/06/2021,3.2,-3.4,0.7,-8,,0,0,0,19.2,257.17,,46.1,0,77.18,Clear
Deutschland,03/07/2021,4,1.4,2.7,-3.5,,0.05,0,0,24.5,266.29,,34.7,,73.81,Rain
Deutschland,03/08/2021,5.6,-2.7,1.5,-5.6,,0.28,0,0,10.9,193.71,,19,5.9,66.45,Rain
Deutschland,03/09/2021,6.1,-3.6,0.6,-8.4,,0,0,0,13.2,113.08,,43.9,1.6,56.99,Clear
Deutschland,03/10/2021,7.5,-4.4,1.5,-8.5,,0,0,0,14.8,122.79,,36.4,4.2,54.71,Clear
Deutschland,03/11/2021,11.2,1.3,5.7,-2.8,,6.74,0,0,29.5,194.5,,19.3,6.5,81.36,Rain
Deutschland,03/12/2021,9.5,4.5,6.8,-0.1,,1.2,0,0,30.6,234.63,,37.7,0,70.17,Rain
