Datum;Erster;Hoch;Tief;Schlusskurs
15.04.2021;66,61;67,01;65,92;66,97
14.04.2021;64,61;66,9;64,22;66,63
13.04.2021;63,79;64,2;63,27;63,57
12.04.2021;62,62;64,3;62,38;63,3
09.04.2021;62,9;63,35;62,57;62,95
08.04.2021;62,78;63,42;62,38;63,09
07.04.2021;62,96;63,52;61,57;63,09
06.04.2021;62,66;64,27;62,59;62,71
01.04.2021;63,24;65,05;62,47;64,87
31.03.2021;64,64;64,8;63,52;63,66
30.03.2021;64,67;65,15;63,52;64,1
29.03.2021;63,66;65,44;63,53;64,85
26.03.2021;63,11;64,91;62,89;64,41
25.03.2021;63,55;63,86;60,97;61,81
24.03.2021;61,45;64,57;61,45;64,25
23.03.2021;63,89;63,96;60,49;60,56
22.03.2021;63,78;65,02;63,78;64,61
19.03.2021;63,12;64,57;62,07;64,38
18.03.2021;67,31;68,14;64,1;64,41
17.03.2021;68,74;68,76;66,94;68,08
16.03.2021;68,5;68,67;67,5;68,33
15.03.2021;69,95;69,98;67,85;68,76
12.03.2021;69,39;69,92;69,13;69,17
11.03.2021;68,25;69,68;68,15;69,51
10.03.2021;67,61;68,44;66,79;67,8
09.03.2021;68,19;69,31;67,35;67,43
08.03.2021;70,16;70,26;67,8;67,84
05.03.2021;67,86;69,58;67,54;69,32
04.03.2021;64,64;67,71;63,38;66,97
03.03.2021;62,89;64,7;62,59;64,36
02.03.2021;62,8;64,13;62,64;63,55
01.03.2021;65,47;65,55;63,19;63,74
26.02.2021;66,38;66,57;65,66;66,06
25.02.2021;67,65;67,73;66,47;66,68
24.02.2021;65,38;67,29;65,18;67,16
23.02.2021;66,05;66,57;64,45;65,42
22.02.2021;63,33;65,05;63,15;64,98
19.02.2021;63,02;63,97;62,46;63,02
18.02.2021;64,99;65,08;63,24;63,29
17.02.2021;63,94;64,77;63,11;64,23
16.02.2021;63,41;63,42;62,67;63,24
15.02.2021;63,42;63,68;63,05;63,18
12.02.2021;60,61;62,85;60,33;62,72
11.02.2021;61,18;61,5;60,82;61,16
10.02.2021;61,02;61,67;60,95;61,4
09.02.2021;61;61,23;60,03;61,15
08.02.2021;60,11;60,65;59,83;60,34
05.02.2021;59,19;59,78;59,13;59,57
04.02.2021;58,94;59,06;58,03;58,83
03.02.2021;58,01;58,91;57,65;58,5
02.02.2021;56,85;58,04;56,84;57,51
01.02.2021;55,59;56,32;55,26;56,23
29.01.2021;55,44;56,38;55,35;55,91
28.01.2021;55,56;56,58;55,3;55,76
27.01.2021;56,14;56,48;55,19;55,91
26.01.2021;55,5;56,34;55,5;55,91
25.01.2021;55,74;56,01;55,08;55,59
22.01.2021;55,31;55,72;54,46;55,46
21.01.2021;55,83;56,22;55,46;56,11
20.01.2021;56,33;56,62;55,98;56,04
19.01.2021;55,37;56,09;55,09;55,94
18.01.2021;54,82;55,23;54,52;54,72
15.01.2021;55,72;55,83;54,62;55,11
14.01.2021;56,32;56,45;55,21;56,28
13.01.2021;56,92;57,12;55,76;56,1
12.01.2021;56,08;56,73;55,88;56,51
11.01.2021;55,16;55,87;55,02;55,67
08.01.2021;54,72;55,65;54,63;55,58
07.01.2021;54,56;54,77;54,07;54,5
06.01.2021;53,7;54,74;53,37;54,59
05.01.2021;50,99;53,87;50,87;53,76
04.01.2021;53,08;53,34;50,74;51,33
31.12.2020;51,46;51,54;51,33;51,38
30.12.2020;51,49;51,57;51,02;51,17
29.12.2020;51,4;51,65;51,01;51,08
28.12.2020;51,71;52,03;51,01;51,02
23.12.2020;49,78;51,56;49,73;51,41
22.12.2020;50,19;50,69;49,95;50,27
21.12.2020;50,38;50,9;49,17;50,76
18.12.2020;51,39;52,37;51,18;52,32
17.12.2020;51,63;51,75;51,05;51,36
16.12.2020;50,56;51,16;50,33;51,05
15.12.2020;50,13;50,91;49,75;50,59
14.12.2020;50,59;50,79;49,18;50,09
11.12.2020;50,57;50,66;49,76;50,03
10.12.2020;49,05;51,06;48,96;50,51
09.12.2020;49,03;49,09;48,74;48,82
08.12.2020;48,62;49,02;48,33;48,78
07.12.2020;48,67;49,47;48,35;49,27
04.12.2020;49,66;49,88;48,82;49,25
03.12.2020;48,44;48,93;47,68;48,8
02.12.2020;47,34;48,77;47,11;48,29
01.12.2020;47,71;48,3;46,88;47,31
30.11.2020;47,35;47,99;47,09;47,48
27.11.2020;47,43;48,46;47,35;48,24
26.11.2020;48,24;48,31;47,5;47,7
25.11.2020;48,53;48,68;48,01;48,55
24.11.2020;46,41;48,06;46,15;47,79
23.11.2020;45,77;46,04;45,29;45,97
20.11.2020;44,28;44,88;44,15;44,8
19.11.2020;44,42;44,52;43,76;43,9
18.11.2020;43,94;44,88;43,91;44,64
17.11.2020;44,05;44,17;43,06;43,46
16.11.2020;43,73;44,65;43,22;43,76
13.11.2020;42,92;43,34;42,69;43
12.11.2020;43,64;44,48;43,29;43,86
11.11.2020;44,73;45,31;43,92;44
10.11.2020;42,47;43,48;42,43;43,44
09.11.2020;40,44;43,48;40,2;42,54
06.11.2020;40,59;40,64;39,34;39,61
05.11.2020;40,9;41,54;40,58;40,83
04.11.2020;40,21;41,25;39,39;41,16
03.11.2020;39,26;40,42;39,18;39,95
02.11.2020;36,41;38,95;36,37;38,57
30.10.2020;37,46;38,03;37,28;37,44
29.10.2020;38,09;38,09;36,6;37,74
28.10.2020;40,12;40,17;38,76;39,26
27.10.2020;40,65;41,5;40,39;41,14
26.10.2020;40,43;41,13;40,19;40,48
23.10.2020;42,24;42,8;41,48;41,62
22.10.2020;41,87;42,79;41,69;42,37
21.10.2020;42,63;42,77;41,43;41,72
20.10.2020;42,5;42,89;42,16;42,81
19.10.2020;43,17;43,24;42,57;42,73
16.10.2020;42,69;43,09;42,28;43
15.10.2020;43,2;43,21;41,56;42,99
14.10.2020;42,2;43,43;42,1;43,3
13.10.2020;41,77;42,69;41,74;42,53
12.10.2020;42,35;42,43;41,36;41,73
09.10.2020;43,38;43,58;42,59;42,82
08.10.2020;42,38;43,44;42,29;43,28
07.10.2020;42,3;42,42;41,34;41,84
06.10.2020;41,58;42,86;41,22;42,56
05.10.2020;39,95;41,8;39,77;41,49
02.10.2020;39,89;39,98;38,8;39,27
01.10.2020;42,29;42,34;39,91;40,78
30.09.2020;40,66;40,92;40,25;40,9
29.09.2020;42,14;42,36;40,4;40,76
28.09.2020;41,73;42,44;41,5;42,24
25.09.2020;42,19;42,34;41,49;41,9
24.09.2020;41,54;41,99;41,25;41,95
23.09.2020;41,45;42,6;41,24;41,79
22.09.2020;41,55;42,19;41,2;41,61
21.09.2020;42,59;42,67;40,93;41,27
18.09.2020;43,65;43,82;42,52;43,11
17.09.2020;41,58;43,52;41,54;43,32
16.09.2020;41,25;42,26;41,18;42,09
15.09.2020;39,52;40,84;39,37;40,66
14.09.2020;40,01;40,07;39,29;39,73
11.09.2020;39,83;40,32;39,38;39,79
10.09.2020;40,65;40,85;40,07;40,16
09.09.2020;39,74;41,22;39,68;40,88
08.09.2020;41,79;41,94;39,28;39,73
07.09.2020;42,12;42,44;41,73;42,03
04.09.2020;43,68;44,56;42,3;42,65
03.09.2020;44,24;44,27;43,12;44,06
02.09.2020;45,95;46,05;44,27;44,28
01.09.2020;45,73;46,24;45,54;45,65
31.08.2020;46,34;46,54;45,48;45,53
28.08.2020;45,08;45,28;44,77;45,02
27.08.2020;45,63;45,88;44,51;45,02
26.08.2020;46,04;46,11;45,52;45,77
25.08.2020;45,26;46,07;45,14;45,89
24.08.2020;44,6;45,11;44,53;45,02
21.08.2020;44,81;44,87;43,56;44,1
20.08.2020;45,04;45,12;43,99;44,74
19.08.2020;45,04;45,5;44,78;45,37
18.08.2020;45,26;45,56;44,73;45,38
17.08.2020;45,08;45,31;44,49;45,31
14.08.2020;44,81;45,01;44,45;44,59
13.08.2020;45,34;45,61;44,79;45
12.08.2020;45,01;45,49;44,8;45,35
11.08.2020;45,2;45,78;44,68;44,76
10.08.2020;44,82;45,28;44,65;45,19
07.08.2020;44,95;45,24;44,26;44,39
06.08.2020;45,4;45,71;44,82;45,07
05.08.2020;44,68;46,2;44,57;45,24
04.08.2020;44,04;44,83;43,23;44,72
03.08.2020;43,01;44,47;42,89;44,4
31.07.2020;43,2;43,42;43,02;43,32
30.07.2020;43,38;43,6;41,41;42,58
29.07.2020;43,47;43,97;43,4;43,7
28.07.2020;43,63;43,68;42,98;43,08
27.07.2020;43,12;43,78;42,38;43,43
24.07.2020;43,05;43,91;42,75;43,12
23.07.2020;44,64;44,8;43,66;43,8
22.07.2020;44,29;44,36;43,59;44,18
21.07.2020;43,6;44,9;43,49;44,22
20.07.2020;42,68;43,41;42,36;43,41
17.07.2020;43,22;43,41;42,61;43,18
16.07.2020;43,67;43,81;43,28;43,4
15.07.2020;43,58;43,64;42,7;43,56
14.07.2020;42;43,21;41,9;42,85
13.07.2020;42,77;43,35;42,34;43,21
10.07.2020;41,97;43,42;41,3;43,37
09.07.2020;43,16;43,52;41,94;42,24
08.07.2020;43,08;43,49;42,85;43,31
07.07.2020;42,55;43,46;42,43;43,32
06.07.2020;43,49;43,67;43,39;43,49
03.07.2020;42,65;42,94;42,28;42,8
02.07.2020;42,29;42,95;42,05;42,83
01.07.2020;42,32;42,46;41,01;42,05
30.06.2020;41,44;41,56;40,86;41,14
29.06.2020;40,5;41,9;40,02;41,64
26.06.2020;41,17;41,78;40,28;40,8
25.06.2020;39,7;41,44;39,45;41,1
24.06.2020;42,82;42,86;39,61;40,4
23.06.2020;43,23;43,95;42,49;42,5
22.06.2020;42,28;42,85;41,79;42,78
19.06.2020;42,04;42,92;41,05;42,13
18.06.2020;40,73;41,52;40,56;41,36
17.06.2020;40,6;41,47;40,23;40,75
16.06.2020;39,54;41,66;39,54;40,84
15.06.2020;37,48;39,58;37,37;39,47
12.06.2020;37,36;39,44;37,16;38,61
11.06.2020;40,39;40,75;37,92;38,69
10.06.2020;40,61;41,49;40,1;41,45
09.06.2020;40,87;40,9;39,84;40,54
08.06.2020;42,93;42,99;40,75;40,93
05.06.2020;40,36;42,43;40,32;42,38
04.06.2020;39,22;40;39,04;39,9
03.06.2020;40,28;40,33;38,75;39,57
02.06.2020;38,79;39,58;38,64;39,39
29.05.2020;34,51;35,05;34,03;35,04
28.05.2020;34,08;35,95;33,61;35,56
27.05.2020;35,53;35,93;34,23;34,87
26.05.2020;36,2;36,7;35,22;35,7
25.05.2020;35,11;35,98;34,97;35,55
22.05.2020;34,42;35,19;33,75;34,93
21.05.2020;36,04;36,99;35,71;35,95
20.05.2020;34,73;36,4;34,38;35,56
19.05.2020;35,35;35,38;34,2;34,55
18.05.2020;33,88;35,72;33,55;34,95
15.05.2020;32,08;32,75;31,21;32,63
14.05.2020;29,7;31,2;29,59;30,94
13.05.2020;29,22;30,53;28,9;29,24
12.05.2020;30,05;30,72;29,65;30,09
11.05.2020;29,9;31,46;29,74;29,79
08.05.2020;30,14;30,46;29,52;30,36
07.05.2020;29,33;31,84;29,25;29,91
06.05.2020;30,92;31,95;28,67;29,2
05.05.2020;29,15;30,94;28,65;30,65
04.05.2020;25,68;27,19;25,56;26,77
30.04.2020;24,15;25,76;24,13;24,97
29.04.2020;21,39;23,82;20,82;22,76
28.04.2020;19,39;21,3;19,32;20,43
27.04.2020;20,31;20,97;19,49;20,02
24.04.2020;21,51;22,43;20,51;22,15
23.04.2020;21,48;23,05;21,36;22,24
22.04.2020;17,35;22,44;17,01;20,25
21.04.2020;21,24;21,93;17,57;17,85
20.04.2020;27,37;27,46;25,98;26,22
17.04.2020;27,82;28,85;27,58;28,69
16.04.2020;27,61;28,99;27,16;27,48
15.04.2020;29,06;29,23;27,14;28,01
14.04.2020;31,21;31,8;29,37;29,41
09.04.2020;33,88;36,4;32,23;32,31
08.04.2020;32,48;32,65;31,54;32,2
07.04.2020;33,59;34,13;32,32;32,32
06.04.2020;33,81;33,83;31,89;32,93
03.04.2020;30,28;34,89;30,28;33,76
02.04.2020;27,18;33,7;25,96;29,27
01.04.2020;25,11;25,73;24,54;24,93
31.03.2020;23,4;23,87;22,54;22,73
30.03.2020;23,15;23,17;21,63;21,84
27.03.2020;26,07;26,1;24,16;24,54
26.03.2020;26,35;27,62;26,25;26,49
